Date,Reading,Consumption,Cost
23.12.2023,32.965,0,0
31.12.2023,32.970,5,11.25
08.01.2024,33.057,87,79.96
19.02.2024,33.292,235,190.72
12.03.2024,33.407,115,101.51
24.04.2024,33.630,223,186.49
15.05.2024,33.734,104,98.03
26.06.2024,33.964,230,191.71
09.07.2024,34.053,89,97.72
06.08.2024,34.228,175,187.92
11.09.2024,34.467,239,250.19
12.10.2024,34.622,155,168.45
08.11.2024,34.744,122,136.32
17.12.2024,34.988,244,255.05
08.01.2025,35.097,109,123.58
12.02.2025,35.301,204,215.24
15.03.2025,35.408,107,121.08
24.04.2025,35.517,109,123.04
